Text,Polarity,Sentiment
"feeling inspired !
",0.6114,positive
"awesome
",0.6249,positive
"congratulation sir , let & # 39 ; achieve together ! ! !
",0.6981,positive
"codegnan destination â¤
",0.6369,positive
"video lo unna pillalu miru mosapoyaru . sairam gadu college management ki paisal ichi mimmalni join chepicharu . vadu maya matalu cheppi dhagera antha kante double paisal vasool chesthadu . jagratha
",0.296,positive
"well said sir ..
",0.2732,positive
"p r ğŸŒº
",0.0,neutral
"sairam uppagundla , veedu oka big scammer . believe word , loose money . veedu matalu cheppadaniki baga panikosthadu . cheated around 50 people 2013 hyderabad . pedha cheater veedu . video lo matalu chusi mosapokandi , money pay chesaka em cheyaleru . careful guy .
",-0.836,negative
"hii im bsc hons agriculture fresher graduate , eligible softwear job , course better learn get job im non c background
",0.4404,positive
"insightful informative job aspiring studentsğŸ‘ğŸ‘more go .
",0.0,neutral
"well said !
",0.3382,positive
"thank codegnan & # 39 ; useful
",0.6597,positive
"hii ... data scientist avvadaniki aiml yedi perfect ga avvali anna first competitive ga strong undali annaru kada .... aaa competitive language enti python java c ? data analyst avvali antey first step enti asalu ? ..
",0.8677,positive
"point view share true . issue fresher facing discussed clearly . good see . hope see coming day â¤ï¸
",0.91,positive
"got clarity ğŸŒŸ
",0.4019,positive
"way go .. ğŸ‘ğŸ‘
",0.0,neutral
"well said saketh
",0.2732,positive
"got clarity regarding placement ğŸ‘ .
",0.4019,positive
"useful
",0.4404,positive
"helloo sir ... may know application used record screen making video sir please tell
",0.3182,positive
"run
",0.0,neutral
"thanks bro
",0.4404,positive
"helloo sir ... excuse sir , may know application used record screen making video
",0.0772,positive
"great work ! keep going .
",0.6588,positive
"superb technique fantastic content ğŸ‘ğŸ‘ğŸ‘ğŸ‘
",0.8271,positive
"got error name & quot ; draw & quot ; definedsir
",-0.4019,negative
"& # 39 ; facing error : module named & quot ; sketchpy & quot ; would solution
",-0.1027,negative
"send code
",0.0,neutral
"jai india , jai codegnan , jai sairam garu
",0.0,neutral
"pre request learning django ?
",0.0,neutral
"thanks sir
",0.4404,positive
"hi sir done payment tell process
",0.0,neutral
"video 178 view . thought atleast like 5k view
",0.3612,positive
"epic job man ğŸ‘love video .plz also share note lecture video plz share idle file jupyter file youtube
",0.6124,positive
"/ forward slash \ backward slash
",-0.4939,negative
"thanks
",0.4404,positive
"2 minute still motivating idea product presentation . shame .. wasted time . concise point please .
",-0.2023,negative
"awesome video sir
",0.6249,positive
